timestamp_utc,pulse_fan_rpm_count,pulse_meter_pulses_count,adc_volt_1_voltage_v,adc_volt_10_voltage_v,adc_volt_11_voltage_v,adc_volt_12_voltage_v,adc_volt_13_voltage_v,adc_volt_14_voltage_v,adc_volt_15_voltage_v,adc_volt_16_voltage_v,adc_volt_2_voltage_v,adc_volt_3_voltage_v,adc_volt_4_voltage_v,adc_volt_5_voltage_v,adc_volt_6_voltage_v,adc_volt_7_voltage_v,adc_volt_8_voltage_v,adc_volt_9_voltage_v
2026-05-11T13:49:56Z,0,0,0.11262500000000002,,,,,,,,0.072425,0.09185,0.11844999999999999,0.11710000000000001,0.088425,0.093225,0.13775,
2026-05-11T13:50:13Z,0,0,0.103125,,,,,,,,0.07025,0.09002500000000001,0.1061,0.1059,0.09032500000000002,0.09532500000000001,0.12127500000000002,
2026-05-11T13:51:32Z,0,0,0.1065,,,,,,,,0.0733,0.09575,0.105725,0.105725,0.091475,0.09630000000000001,0.12290000000000001,
2026-05-11T13:51:49Z,0,0,0.1032,,,,,,,,0.07320000000000002,0.09585000000000002,0.10645,0.1056,0.090925,0.09565,0.12112500000000001,
2026-05-11T13:52:49Z,0,0,0.098035,0.116035,0.10679000000000001,0.12392,0.113245,0.10502,0.105795,0.09254,0.069265,0.09127,0.10327,0.103335,0.088805,0.093515,0.11939,0.08776500000000001
2026-05-11T13:53:49Z,0,0,0.1004,0.115215,0.10843499999999999,0.12477,0.11379999999999998,0.10505,0.10591500000000001,0.092435,0.07086,0.092665,0.10322499999999998,0.102855,0.087785,0.09236,0.11869,0.08863499999999999
2026-05-11T13:54:49Z,0,0,0.10024999999999999,0.11388000000000001,0.108345,0.12507,0.11264500000000002,0.103145,0.10344,0.09058999999999999,0.070595,0.09185499999999999,0.103125,0.10327,0.088715,0.093405,0.11992499999999999,0.08874499999999999
2026-05-11T13:55:49Z,0,0,0.100925,0.11168499999999999,0.10679000000000001,0.12371000000000001,0.11369500000000002,0.105185,0.106025,0.09277500000000001,0.07082,0.09217,0.10426500000000001,0.10323000000000002,0.08845499999999999,0.093055,0.11941500000000001,0.087655
2026-05-11T13:56:49Z,0,0,0.101115,0.11096000000000002,0.106715,0.124045,0.11356,0.10486500000000001,0.10590999999999999,0.092915,0.07140500000000001,0.092875,0.103755,0.10297500000000001,0.08796000000000001,0.092635,0.12098500000000001,0.088915
2026-05-11T13:57:29Z,0,0,0.062375,0.1066,0.103725,0.11897500000000001,0.059550000000000006,0.10340000000000002,0.10347500000000001,0.08705,0.0668,0.08687500000000001,0.09752500000000001,0.0698,0.0889,0.08759999999999998,0.11339999999999999,0.048525
2026-05-11T13:57:49Z,0,0,0.10019,0.11621000000000001,0.10844499999999999,0.12509,0.113555,0.10396000000000001,0.10323500000000001,0.089085,0.070385,0.09215999999999999,0.10229999999999999,0.10341,0.088645,0.093445,0.11937500000000001,0.08594500000000001
2026-05-11T13:58:22Z,0,0,0.10317499999999999,,,,,,,,0.07289999999999999,0.095575,0.10605,0.10552500000000001,0.090525,0.09555000000000001,0.11895,
2026-05-11T13:59:22Z,0,0,0.10057,0.116025,0.10764499999999999,0.125465,0.11345000000000001,0.10500000000000001,0.10570500000000001,0.09236,0.070735,0.092195,0.10261,0.103355,0.08846000000000001,0.0932,0.11921999999999999,0.08749
2026-05-11T14:00:22Z,0,0,0.09996000000000001,0.11309,0.107685,0.12432000000000001,0.11383000000000001,0.105555,0.10636000000000001,0.09276999999999999,0.07081499999999999,0.09326,0.103965,0.10330500000000001,0.08796999999999999,0.09259,0.11969,0.08894500000000001
2026-05-11T14:01:22Z,0,0,0.099775,0.11374999999999999,0.108515,0.12535500000000002,0.11331500000000001,0.10486,0.10584500000000001,0.09227500000000001,0.07014000000000001,0.09174500000000001,0.102275,0.102965,0.088265,0.092915,0.11984500000000001,0.08902
2026-05-11T14:11:49Z,0,0,0.11672500000000001,0.116375,0.11022499999999999,0.12817499999999998,,,,,0.073425,0.09565000000000001,0.106375,0.1062,0.09105,0.095725,0.12149999999999998,0.08945
2026-05-11T14:12:49Z,0,0,0.098185,0.11198000000000001,0.10769499999999999,0.12476000000000001,0.1197,0.1078,0.10533,0.09168499999999999,0.070695,0.093055,0.10358500000000001,0.09823000000000001,0.08836000000000001,0.09288500000000001,0.11894500000000001,0.07973000000000001
2026-05-11T14:13:49Z,0,0,0.077815,0.100525,0.10846,0.12523,0.095275,0.09144000000000001,0.108365,0.09271,0.06867,0.092395,0.103715,0.084795,0.09176000000000001,0.093285,0.119295,0.075485
2026-05-11T14:14:49Z,0,0,0.062085,0.09798500000000002,0.10826,0.12596000000000002,0.09709000000000001,0.091085,0.10855999999999999,0.092715,0.06692000000000001,0.09242,0.102935,0.08934,0.08816500000000001,0.09297,0.118605,0.077775
2026-05-11T14:15:04Z,0,0,0.09445,0.10822499999999999,0.072875,0.061,0.11082499999999999,0.100625,0.0617,0.060724999999999994,0.068475,0.092325,0.06835,0.10362500000000001,0.08735,0.074325,0.06787499999999999,0.08130000000000001
2026-05-11T14:15:49Z,0,0,0.10034499999999999,0.11241000000000001,0.10774999999999998,0.12376000000000001,0.11220000000000001,0.10491500000000001,0.10513000000000002,0.09214,0.07074,0.09288,0.10347999999999999,0.10313000000000001,0.08798,0.095585,0.121335,0.085205
2026-05-11T14:16:49Z,0,0,0.10089,0.111625,0.10766,0.12423500000000001,0.11330500000000002,0.104805,0.10579000000000001,0.09257,0.07098,0.093185,0.10413999999999998,0.103125,0.08861,0.09360500000000001,0.12180500000000001,0.086445
2026-05-11T14:17:49Z,0,0,0.10020500000000002,0.112605,0.10844000000000001,0.125285,0.11388500000000001,0.10526500000000001,0.10617999999999998,0.0928,0.07030499999999999,0.09219999999999999,0.10286500000000001,0.10233500000000002,0.08823,0.092975,0.12186,0.08743999999999999
